Model,dof,Iterations,Median Final Loss,Avg Slope (last 10),Median Std (last 10)
mlp-fosls,114,10,3.6364406891644947,5.658753045056031e-06,0.38497346757263945
mlp-fosls,354,10,2.5860583605036296,3.219916358851993e-07,0.016114293627584635
mlp-fosls,626,10,2.5820684582958666,-1.0542191891999009e-07,0.006872504122365439
mlp-fosls,2274,10,2.5538387339339863,-7.908181048906504e-07,0.14904441785979966
mlp-fosls,3330,10,1.8456025012006694,1.837344326093099e-05,0.7419672612068303
mlp-fosls,12802,10,0.05186033186918036,8.440353568824888e-07,0.003902072483571306
mlp-fosls,16962,10,0.05611813725497321,3.3696318789088186e-06,0.005576788084543886
mlp-fosls,66690,10,0.02614462596895424,1.0976513449920676e-06,0.003971740278675471
mlp-fosls,264450,10,0.014876657296369226,2.3076433774379403e-05,0.001560801728418473
mlp_V0-fosls,114,10,4.384086286920171,-2.3782451422983407e-06,0.10954658108545348
mlp_V0-fosls,354,10,3.9665970422881003,1.504881080507614e-06,0.032579892357225484
mlp_V0-fosls,626,10,3.7337909119364303,-9.89599623451687e-07,0.022039927647014727
mlp_V0-fosls,2274,10,3.5479727675577704,-2.670750266278554e-06,0.08163806921883292
mlp_V0-fosls,3330,10,3.203068772915464,5.086930020674618e-06,0.13776846714792482
mlp_V0-fosls,12802,10,2.3722607520597023,-7.14687185998486e-07,0.061043371755984004
mlp_V0-fosls,16962,10,2.1598491658869516,2.3009805771165294e-07,0.0635131430390989
mlp_V0-fosls,66690,10,1.3162751652638,-2.3631511507499204e-07,0.04435037665533158
mlp_V0-fosls,264450,10,0.7036045548419221,1.4769338419684945e-06,0.01992704110712863
