plot-name,dof,median,low,high
mlp-fosls,114,3.6364406891644947,2.997046129036514,4.137914843089116
mlp-fosls,354,2.5860583605036296,2.573269983246462,2.6326905174182835
mlp-fosls,626,2.5820684582958666,2.5598652948761536,2.584517443420384
mlp-fosls,2274,2.5538387339339863,2.0581563814321027,2.5780976265118767
mlp-fosls,3330,1.8456025012006694,0.4358385760002323,2.5544020933726284
mlp-fosls,12802,0.05186033186918036,0.04895989757095091,0.0603753706504075
mlp-fosls,16962,0.05611813725497321,0.046944938579142406,0.0666258910148186
mlp-fosls,66690,0.02614462596895424,0.023668789572017852,0.03757110965172214
mlp-fosls,264450,0.014876657296369226,0.013337293486872766,0.01780588559998458
mlp_V0-fosls,114,4.384086286920171,4.29497405571701,4.648493713551911
mlp_V0-fosls,354,3.9665970422881003,3.921199664448583,4.03611969870692
mlp_V0-fosls,626,3.7337909119364303,3.6964866917939614,3.768952225404346
mlp_V0-fosls,2274,3.5479727675577704,3.4278139458356875,3.6564449682174933
mlp_V0-fosls,3330,3.203068772915464,3.0537290508536987,3.5304417318115178
mlp_V0-fosls,12802,2.3722607520597023,2.271763240788636,2.4499269279949245
mlp_V0-fosls,16962,2.1598491658869516,2.060929943472867,2.279718799650728
mlp_V0-fosls,66690,1.3162751652638,1.2418973571884377,1.421196995990691
mlp_V0-fosls,264450,0.7036045548419221,0.6637972582500414,0.7254335389721358
