plot-name,time,median,low,high
mlp-vpinn,1.2046496868133545,31.586010932922363,10.202493667602539,56.769222259521484
mlp-vpinn,1.6879043426360931,41.54643428683252,10.55113630821929,56.76321380360256
mlp-vpinn,2.1711589984588318,51.55408624358292,10.63441478890719,56.757202153400165
mlp-vpinn,2.65441365428157,56.07163850352355,10.570478817208215,56.94199336748559
mlp-vpinn,3.137668310104309,55.95947708731316,10.587565042085743,56.88799337024312
mlp-vpinn,3.620922965927048,55.69742713311702,10.604631269869689,57.05841128566801
mlp-vpinn,4.104177621749786,55.25604573436341,10.614376893698784,56.906138376757056
mlp-vpinn,4.587432277572525,54.76548817268652,10.62412251752788,56.75722448595915
mlp-vpinn,5.0706869333952636,53.816952892491926,10.698799586520256,56.7239212328015
mlp-vpinn,5.553941589218002,52.37533380912251,10.727740442378938,56.69619693024918
mlp-vpinn,6.037196245040741,50.93270718921853,10.75602452504048,56.66847262769685
mlp-vpinn,6.520450900863479,48.34109982322313,10.737606609774927,56.48589380788581
mlp-vpinn,7.003705556686218,45.72845011194799,10.719188694509372,56.37315759851649
mlp-vpinn,7.486960212508957,43.484820836862895,10.755055667397807,56.2363569119318
mlp-vpinn,7.970214868331695,41.50718657922092,10.841166707716997,56.02703428204775
mlp-vpinn,8.453469524154434,39.52722797060723,10.929251412862223,55.876392781186176
mlp-vpinn,8.936724179977173,37.046773790766636,11.093415476704696,55.70794239552324
mlp-vpinn,9.419978835799911,34.59148662333251,11.257579540547166,55.5963917046113
mlp-vpinn,9.90323349162265,32.21162473504888,11.376822147152357,55.53231404409937
mlp-vpinn,10.38648814744539,29.929589099229187,11.456655620965835,55.51279714225215
mlp-vpinn,10.869742803268128,27.653953325368906,11.534650141172083,55.487617365404226
mlp-vpinn,11.352997459090865,26.45084268861584,11.566415786866717,55.15503409587454
mlp-vpinn,11.836252114913604,25.258100282771757,11.59818143256135,54.82245082634486
mlp-vpinn,12.319506770736343,24.40045053464925,11.710492621031127,54.36290990653342
mlp-vpinn,12.802761426559082,23.883854518721847,11.89103047099538,53.78747422824167
mlp-vpinn,13.28601608238182,23.369498260743995,12.07188071374044,53.20266972321126
mlp-vpinn,13.76927073820456,23.25677800015499,12.128963984105864,52.28564971775948
mlp-vpinn,14.252525394027298,23.42689675014814,12.151519527976903,51.36862971230771
mlp-vpinn,14.735780049850035,23.84934662654443,12.21201411727964,49.371892540699974
mlp-vpinn,15.219034705672774,22.973666900528944,12.322983209921535,46.4155389239969
