plot-name,dof,median,low,high
mlp-fosls,114,0.3410877821035244,0.2889438978663119,0.39414331985323614
mlp-fosls,354,0.268145787071104,0.24337529578874245,0.29997651087675065
mlp-fosls,626,0.13834673444038276,0.12856150535742103,0.1536896078877365
mlp-fosls,2274,0.11358753197009366,0.10586812644763378,0.12969352438159198
mlp-fosls,3330,0.07352595211019572,0.06734705750359817,0.09020584675204434
mlp-fosls,12802,0.06599028335350168,0.0617692328973989,0.07288327332329593
mlp-fosls,16962,0.05765792901879669,0.055166526457126025,0.06110736390357158
mlp-fosls,66690,0.05570301143571449,0.053125476484405826,0.0625104597399088
mlp-fosls,264450,0.05343247067804231,0.05150860494851413,0.05765086337515817
mlp_V0-fosls,114,0.4346447251371271,0.4301432879816308,0.4390762238716384
mlp_V0-fosls,354,0.4039465902167305,0.39210223300690067,0.4168711895461134
mlp_V0-fosls,626,0.31270942721722855,0.29253468464751464,0.35337806891737095
mlp_V0-fosls,2274,0.23777865927145525,0.23314512544338772,0.25084558178746214
mlp_V0-fosls,3330,0.20139188410443706,0.19341880193386612,0.22496676000792493
mlp_V0-fosls,12802,0.17168980112570642,0.16754939159732793,0.17776809624007642
mlp_V0-fosls,16962,0.1620959519770548,0.1550778170373583,0.16540364620069903
mlp_V0-fosls,66690,0.15050452344185067,0.14514006155879805,0.15900707832586394
mlp_V0-fosls,264450,0.1415012045980496,0.13938363852479857,0.14540840439929253
