plot-name,dof,median,low,high
mlp-fosls,114,0.26038392908682984,0.22235590772168454,0.2893115594502075
mlp-fosls,354,0.1971931766168502,0.17763190407123705,0.21408936965374553
mlp-fosls,626,0.1105992225919695,0.10258679414332937,0.12056840875477556
mlp-fosls,2274,0.08919009725069713,0.08356921022959021,0.09927516857573357
mlp-fosls,3330,0.05905205073020066,0.0547934829279586,0.07155805618219152
mlp-fosls,12802,0.0521494477446158,0.04740706612413176,0.05850514427885255
mlp-fosls,16962,0.04374277558603952,0.041323075731950314,0.047929763148775846
mlp-fosls,66690,0.04112175470838296,0.037459444552277676,0.0478594272339561
mlp-fosls,264450,0.03742401630508238,0.03538338482925139,0.04136525162191656
mlp_V0-fosls,114,0.4302511612559913,0.41988597982597664,0.44686008375122244
mlp_V0-fosls,354,0.3869409873111047,0.3743849916669143,0.39836929709928204
mlp_V0-fosls,626,0.3077164527953232,0.28928977176723847,0.3388730798918086
mlp_V0-fosls,2274,0.23296943981195128,0.22920018550634783,0.24795883598772409
mlp_V0-fosls,3330,0.19795828717779368,0.19034684164204113,0.22131905651264672
mlp_V0-fosls,12802,0.1675746307151555,0.16376202178825855,0.17337610107332144
mlp_V0-fosls,16962,0.15831169263295547,0.151226778434926,0.1614997558115805
mlp_V0-fosls,66690,0.14613162659056794,0.1411540292692281,0.15380579022471308
mlp_V0-fosls,264450,0.13702244405680114,0.1349911599333451,0.14058330368072017
