plot-name,dof,median,low,high
mlp-fosls,114,0.06781168654561043,0.04944214969873428,0.08370117843151093
mlp-fosls,354,0.06781168654561043,0.04944214969873428,0.08370117843151093
mlp-fosls,354,0.038885731250047684,0.03155309334397316,0.0458342581987381
mlp-fosls,626,0.06781168654561043,0.04944214969873428,0.08370117843151093
mlp-fosls,626,0.038885731250047684,0.03155309334397316,0.0458342581987381
mlp-fosls,626,0.012233433313667774,0.010524050332605839,0.014536741189658642
mlp-fosls,2274,0.06781168654561043,0.04944214969873428,0.08370117843151093
mlp-fosls,2274,0.038885731250047684,0.03155309334397316,0.0458342581987381
mlp-fosls,2274,0.012233433313667774,0.010524050332605839,0.014536741189658642
mlp-fosls,2274,0.007954996079206467,0.006983812898397446,0.009855559095740318
mlp-fosls,3330,0.06781168654561043,0.04944214969873428,0.08370117843151093
mlp-fosls,3330,0.038885731250047684,0.03155309334397316,0.0458342581987381
mlp-fosls,3330,0.012233433313667774,0.010524050332605839,0.014536741189658642
mlp-fosls,3330,0.007954996079206467,0.006983812898397446,0.009855559095740318
mlp-fosls,3330,0.003487273585051298,0.0030023257713764906,0.005120555404573679
mlp-fosls,12802,0.06781168654561043,0.04944214969873428,0.08370117843151093
mlp-fosls,12802,0.038885731250047684,0.03155309334397316,0.0458342581987381
mlp-fosls,12802,0.012233433313667774,0.010524050332605839,0.014536741189658642
mlp-fosls,12802,0.007954996079206467,0.006983812898397446,0.009855559095740318
mlp-fosls,12802,0.003487273585051298,0.0030023257713764906,0.005120555404573679
mlp-fosls,12802,0.002719569019973278,0.002247429918497801,0.0034228519070893526
mlp-fosls,16962,0.06781168654561043,0.04944214969873428,0.08370117843151093
mlp-fosls,16962,0.038885731250047684,0.03155309334397316,0.0458342581987381
mlp-fosls,16962,0.012233433313667774,0.010524050332605839,0.014536741189658642
mlp-fosls,16962,0.007954996079206467,0.006983812898397446,0.009855559095740318
mlp-fosls,16962,0.003487273585051298,0.0030023257713764906,0.005120555404573679
mlp-fosls,16962,0.002719569019973278,0.002247429918497801,0.0034228519070893526
mlp-fosls,16962,0.0019134748727083206,0.0017075965879485011,0.0022972621954977512
mlp-fosls,66690,0.06781168654561043,0.04944214969873428,0.08370117843151093
mlp-fosls,66690,0.038885731250047684,0.03155309334397316,0.0458342581987381
mlp-fosls,66690,0.012233433313667774,0.010524050332605839,0.014536741189658642
mlp-fosls,66690,0.007954996079206467,0.006983812898397446,0.009855559095740318
mlp-fosls,66690,0.003487273585051298,0.0030023257713764906,0.005120555404573679
mlp-fosls,66690,0.002719569019973278,0.002247429918497801,0.0034228519070893526
mlp-fosls,66690,0.0019134748727083206,0.0017075965879485011,0.0022972621954977512
mlp-fosls,66690,0.001691087381914258,0.001403209986165166,0.002290524775162339
mlp-fosls,264450,0.06781168654561043,0.04944214969873428,0.08370117843151093
mlp-fosls,264450,0.038885731250047684,0.03155309334397316,0.0458342581987381
mlp-fosls,264450,0.012233433313667774,0.010524050332605839,0.014536741189658642
mlp-fosls,264450,0.007954996079206467,0.006983812898397446,0.009855559095740318
mlp-fosls,264450,0.003487273585051298,0.0030023257713764906,0.005120555404573679
mlp-fosls,264450,0.002719569019973278,0.002247429918497801,0.0034228519070893526
mlp-fosls,264450,0.0019134748727083206,0.0017075965879485011,0.0022972621954977512
mlp-fosls,264450,0.001691087381914258,0.001403209986165166,0.002290524775162339
mlp-fosls,264450,0.0014006029232405126,0.0012519839219748974,0.0017110840417444706
