plot-name,time,median,low,high
kan-fosls,1.1552672386169434,0.0015190709964372218,0.0014750807313248515,0.001566870603710413
kan-fosls,1.6205034673631609,0.0010670004048052148,0.0010266718959469523,0.0010993953431442482
kan-fosls,2.0857396961093784,0.0006162970953691731,0.0005756412545988353,0.0006311740867283716
kan-fosls,2.550975924855596,0.00033936954691900906,0.0003093055748631203,0.00035206799931944123
kan-fosls,3.0162121536018134,0.00025431230032202433,0.00022865092123083202,0.0002640641645306565
kan-fosls,3.481448382348031,0.00016668399745678954,0.00014835922090289665,0.00017616960683109498
kan-fosls,3.9466846110942484,0.000127200243334642,0.00011327768014145242,0.00013832884412629898
kan-fosls,4.411920839840466,8.818706778715917e-05,7.812374695617192e-05,0.00010048808142150297
kan-fosls,4.877157068586683,6.199879082256551e-05,5.4543807383551965e-05,7.464404117815504e-05
kan-fosls,5.342393297332901,4.804647963488333e-05,4.1661019818591626e-05,7.054908721296721e-05
kan-fosls,5.807629526079118,3.525907412673217e-05,2.898480653968998e-05,6.921387411495844e-05
kan-fosls,6.272865754825336,3.090791285745237e-05,2.5065757954617257e-05,6.308673108782693e-05
kan-fosls,6.738101983571553,2.5038438007400996e-05,2.1146709369544534e-05,5.692800901455445e-05
kan-fosls,7.203338212317771,2.299158052936158e-05,1.8462140314024648e-05,4.821049724520624e-05
kan-fosls,7.6685744410639884,2.149414864332057e-05,1.6875722359372964e-05,3.687680205025286e-05
kan-fosls,8.133810669810206,1.9421627060659188e-05,1.47027545170651e-05,3.313638996313005e-05
kan-fosls,8.599046898556423,1.9574734986703673e-05,1.4393566364346878e-05,2.8920597333824196e-05
kan-fosls,9.064283127302641,1.780966362253313e-05,1.3886047242964575e-05,3.469920650849623e-05
kan-fosls,9.529519356048858,1.7435984603507434e-05,1.1381173480224833e-05,3.6279845185827774e-05
kan-fosls,9.994755584795076,1.706736926176394e-05,1.0940344794401757e-05,3.3564583854913505e-05
kan-fosls,10.459991813541293,1.919612227977717e-05,8.708145300495857e-06,3.284926052356971e-05
kan-fosls,10.925228042287511,1.941295297478152e-05,8.741904244557663e-06,2.312390981384765e-05
kan-fosls,11.390464271033728,1.4380261794780505e-05,8.122280932027596e-06,2.7807702145183487e-05
kan-fosls,11.855700499779946,1.223136704901431e-05,9.216787821674387e-06,2.6250901495222928e-05
kan-fosls,12.320936728526164,1.5977095199690223e-05,1.0088308959265526e-05,1.872499638032094e-05
kan-fosls,12.786172957272381,1.6048922823879737e-05,9.166826743330239e-06,2.2766851004725248e-05
kan-fosls,13.251409186018599,1.415281411246298e-05,8.73334196916722e-06,2.256901550434004e-05
kan-fosls,13.716645414764816,1.1348859808822297e-05,6.038357315369679e-06,2.6121334806831828e-05
kan-fosls,14.181881643511034,1.1354875300616455e-05,7.139887274920349e-06,2.517232132839874e-05
kan-fosls,14.647117872257251,1.2993658016644413e-05,6.463359157573564e-06,2.0986492809159585e-05
kan-fosls,15.112354101003469,1.430308320680782e-05,5.822056785055524e-06,2.266047738149624e-05
kan-fosls,15.577590329749686,1.3173145337731739e-05,6.288424804333189e-06,1.7587858016624323e-05
kan-fosls,16.042826558495904,1.1469303395546013e-05,6.743346055545423e-06,2.169336017681401e-05
kan-fosls,16.50806278724212,1.0660851695743275e-05,5.350809202628371e-06,1.9287930842522494e-05
kan-fosls,16.97329901598834,1.0862559110504275e-05,4.662306538053869e-06,1.4566659758040352e-05
kan-fosls,17.438535244734556,7.270493105204158e-06,4.209852186662722e-06,1.3986925379053253e-05
kan-fosls,17.903771473480774,7.216460306480383e-06,5.247294656063924e-06,1.4879368573641608e-05
kan-fosls,18.36900770222699,6.726676310668935e-06,4.946441729900722e-06,1.6135945176892737e-05
kan-fosls,18.83424393097321,7.6405001117386e-06,4.857103736263192e-06,1.5011423185293634e-05
kan-fosls,19.299480159719426,8.190453586832072e-06,5.0365718314511935e-06,1.5200829971143516e-05
kan-fosls,19.764716388465644,8.380707826194683e-06,5.233445872398014e-06,1.8975190005964708e-05
kan-fosls,20.22995261721186,8.782906170859044e-06,5.619082050268105e-06,1.3326904769869915e-05
kan-fosls,20.69518884595808,8.414824391578614e-06,5.610324068977962e-06,1.3614432285682846e-05
kan-fosls,21.160425074704296,9.569788252188166e-06,4.69635279298306e-06,1.4731493609377273e-05
kan-fosls,21.625661303450514,8.958790210244745e-06,4.494190689368069e-06,1.8338575983642227e-05
kan-fosls,22.09089753219673,8.22238888600235e-06,4.570631964847067e-06,2.4854212522936372e-05
kan-fosls,22.55613376094295,1.021306814384016e-05,4.6448052763532806e-06,2.0589382076825943e-05
kan-fosls,23.021369989689166,9.203593577596134e-06,4.101272615290439e-06,2.7409918923685745e-05
kan-fosls,23.486606218435384,9.101457645798607e-06,4.303100730326067e-06,2.596254459429728e-05
kan-fosls,23.9518424471816,7.927646926169647e-06,5.158517138405562e-06,1.6011636634708123e-05
kan-fosls,24.41707867592782,7.074247388589536e-06,4.599057266068823e-06,1.2010072073827114e-05
kan-fosls,24.882314904674036,8.010320791035448e-06,5.268860515546328e-06,1.2340312293817439e-05
kan-fosls,25.347551133420254,7.610252985749089e-06,4.35573683896035e-06,1.7464252755716958e-05
kan-fosls,25.81278736216647,6.576445016432082e-06,4.305271319406551e-06,1.8049691870332818e-05
kan-fosls,26.27802359091269,5.63589895162656e-06,4.125314559766599e-06,1.551333709003504e-05
kan-fosls,26.743259819658906,5.194674635875608e-06,3.0743198134455047e-06,1.27990291307595e-05
kan-fosls,27.208496048405124,5.545961342095019e-06,3.2532407407623555e-06,9.085114824688346e-06
kan-fosls,27.67373227715134,5.059599440905142e-06,3.233550837920247e-06,1.3324631947421403e-05
kan-fosls,28.13896850589756,5.900558611532942e-06,3.646190424120463e-06,1.3103229239495272e-05
kan-fosls,28.604204734643776,5.545188816954303e-06,3.929159844231548e-06,1.2578214497128811e-05
kan-fosls,29.069440963389994,5.443918837382026e-06,3.0522582972279004e-06,1.77516425331817e-05
kan-fosls,29.53467719213621,5.813775359468801e-06,3.207529260813478e-06,1.3716725695921879e-05
kan-fosls,29.99991342088243,5.545097884061674e-06,3.195320609725e-06,9.681808858662057e-06
kan-fosls,30.465149649628646,5.9193931488686236e-06,3.914516479498286e-06,9.130348677844465e-06
kan-fosls,30.930385878374864,6.626789393601988e-06,4.4495945386263944e-06,1.0100103034148518e-05
kan-fosls,31.39562210712108,6.9326234172305124e-06,5.2354897671597935e-06,1.109400292431274e-05
kan-fosls,31.8608583358673,6.515327700800624e-06,5.4735060925871106e-06,1.0247012205991731e-05
kan-fosls,32.32609456461351,5.570405635501859e-06,4.0885509671960515e-06,1.2746516504280321e-05
kan-fosls,32.791330793359734,5.60201755955729e-06,3.6463605729228645e-06,1.2251432036112328e-05
kan-fosls,33.256567022105955,6.26524553587635e-06,3.5144276542847034e-06,8.723949069661352e-06
kan-fosls,33.72180325085217,5.736740625783513e-06,3.031178090459845e-06,8.753033591231477e-06
kan-fosls,34.18703947959838,5.136431762982046e-06,3.657440112808639e-06,9.524754158221451e-06
kan-fosls,34.652275708344604,4.878277021459073e-06,2.424590509392569e-06,1.0296474725211438e-05
kan-fosls,35.117511937090825,4.9609762311935e-06,1.8012309792351345e-06,8.57867587687163e-06
kan-fosls,35.58274816583704,4.424240213847388e-06,1.7199469194555223e-06,5.91317444313128e-06
kan-fosls,36.04798439458325,3.96555442835781e-06,1.6788684539917142e-06,6.078929452692526e-06
kan-fosls,36.513220623329474,3.9257889663278794e-06,2.153303775558809e-06,5.308287243813577e-06
kan-fosls,36.978456852075695,3.820177317074601e-06,2.6277390971259035e-06,5.005376461783602e-06
kan-fosls,37.44369308082191,3.955548641190166e-06,3.057536409258558e-06,4.656835164737856e-06
kan-fosls,37.90892930956812,4.169083089564789e-06,2.8798732129286983e-06,5.901423963489174e-06
kan-fosls,38.374165538314344,4.0673685326234925e-06,2.3144526126694915e-06,6.5310275477936105e-06
kan-fosls,38.839401767060565,4.587999837973686e-06,2.9031548802283214e-06,7.3786888636022905e-06
kan-fosls,39.30463799580678,4.900979537457755e-06,2.088127707517672e-06,1.0601109045107539e-05
kan-fosls,39.76987422455299,4.350440183556302e-06,1.977885276319032e-06,9.45664534055678e-06
kan-fosls,40.235110453299214,4.187573540498434e-06,2.256090236510987e-06,5.954837732492388e-06
kan-fosls,40.700346682045435,3.202526186537976e-06,2.1359911044185455e-06,5.847006277610089e-06
kan-fosls,41.16558291079165,3.376574061581422e-06,2.502296027861612e-06,4.289230444700065e-06
kan-fosls,41.63081913953786,3.0546000142958167e-06,2.255626068610256e-06,4.661336282684736e-06
kan-fosls,42.096055368284084,2.981381383786847e-06,2.4534912879982145e-06,8.009146231716534e-06
kan-fosls,42.561291597030305,3.0422429505520753e-06,2.0739442273732317e-06,1.2303547541803382e-05
kan-fosls,43.02652782577652,2.8891408113036265e-06,1.7957024196868281e-06,1.4193026307850254e-05
kan-fosls,43.49176405452273,3.106412245205107e-06,2.022046317473592e-06,9.129301265250123e-06
kan-fosls,43.957000283268954,3.1219058497369247e-06,1.950282812015201e-06,4.888217765503901e-06
kan-fosls,44.422236512015175,3.198110664489562e-06,1.5355998632027574e-06,5.338453495775422e-06
kan-fosls,44.88747274076139,3.323088747578058e-06,1.4909270022025394e-06,6.05832651145009e-06
kan-fosls,45.3527089695076,3.584172375295312e-06,1.474936631533876e-06,6.195013626632821e-06
