plot-name,dof,median,low,high
mlp-fosls,114,0.2640750291215568,0.167690001447392,0.38561233073093
mlp-fosls,354,0.011127239272107514,0.00836134390644606,0.04364174659800679
mlp-fosls,626,0.0073427721945708065,0.004411844167811571,0.011187320207970565
mlp-fosls,2274,0.002588807934631775,0.0015228051280052148,0.004129815026677705
mlp-fosls,3330,0.0032744695199803516,0.002305479207302178,0.007478939209640353
mlp-fosls,12802,0.0017108432169011952,0.0011607851157809008,0.0023812265150511113
mlp-fosls,16962,0.002345928232518977,0.0011341127489571346,0.004022860981957097
mlp-fosls,66690,0.002051249162986713,0.0010434654890646108,0.003225994069228013
mlp-fosls,264450,0.0013615860876371312,0.0007572919844288557,0.0017359665892172041
mlp_V0-fosls,114,0.2656413371551257,0.10369552418746039,0.40572345062003273
mlp_V0-fosls,354,0.026154338580016118,0.016908962227427927,0.03775858497835791
mlp_V0-fosls,626,0.021634073107181205,0.007473111455953832,0.04562850213245404
mlp_V0-fosls,2274,0.0027634074745472833,0.0017983258967633321,0.004583599062052367
mlp_V0-fosls,3330,0.001735323613137172,0.0012770481188942322,0.0035762373603976188
mlp_V0-fosls,12802,0.0010890081769537041,0.000687420365610489,0.0015326827321517937
mlp_V0-fosls,16962,0.0010600834496838555,0.000772856358301557,0.0015595574338406744
mlp_V0-fosls,66690,0.0008621722022800343,0.0007127102219589663,0.0013409143736951117
mlp_V0-fosls,264450,0.0005130745904233274,0.0003521540676894787,0.0008123982502621869
