plot-name,dof,median,low,high
mlp-fosls,114,0.3342557383147554,0.23943884092855106,0.4695568769573469
mlp-fosls,354,0.027212733132183614,0.016672047007224435,0.06931805715908576
mlp-fosls,626,0.01732514352774243,0.01340685163422149,0.02032256687913483
mlp-fosls,2274,0.006889639630163723,0.0051571426908029305,0.00928948652393108
mlp-fosls,3330,0.007428778119523886,0.005610486996209559,0.013119732752095152
mlp-fosls,12802,0.00430163200584918,0.003208732157139559,0.006086636688619393
mlp-fosls,16962,0.005415009005990544,0.003870675752199142,0.0072641589908242505
mlp-fosls,66690,0.004780276689995842,0.0033114472714852656,0.005772076909555175
mlp-fosls,264450,0.002697311068937068,0.0022797614953109146,0.003302488648125245
mlp_V0-fosls,114,0.5302239761591803,0.3123451683809899,0.6972276479599455
mlp_V0-fosls,354,0.08991126967583854,0.0704299555015437,0.1332443942466294
mlp_V0-fosls,626,0.040426576905354464,0.02314603017025472,0.07179980024038356
mlp_V0-fosls,2274,0.009815296126130416,0.008067587347910332,0.01287151836594268
mlp_V0-fosls,3330,0.0075512646336559335,0.006668595462968867,0.01041191203352187
mlp_V0-fosls,12802,0.004530631374544243,0.0042134227112848015,0.004988646739655176
mlp_V0-fosls,16962,0.0044353710216442415,0.0034331452836673473,0.00496053455037003
mlp_V0-fosls,66690,0.0035884072739952614,0.0027540680241699726,0.003986396515588772
mlp_V0-fosls,264450,0.0019225924821034699,0.0017123096867151743,0.002409937073224
