plot-name,dof,median,low,high
mlp-fosls,114,0.3113753130438595,0.21518518886272373,0.4084354998620581
mlp-fosls,354,0.026072068998749476,0.015176981495098107,0.06748426443264474
mlp-fosls,626,0.01617121765780633,0.012706652377184236,0.020003531185472906
mlp-fosls,2274,0.006525067600339388,0.005097552030156148,0.009203460560999388
mlp-fosls,3330,0.007042943200123034,0.005630690227461183,0.01155587282200152
mlp-fosls,12802,0.00423693137348146,0.0031126066986618592,0.00611837545126374
mlp-fosls,16962,0.005209128669606992,0.003876162067763801,0.0068925256655516225
mlp-fosls,66690,0.004561749057711241,0.0032945188255314793,0.005785329238304194
mlp-fosls,264450,0.0027127508869540643,0.002203971985554859,0.0031654667295395304
mlp_V0-fosls,114,0.45815282390214823,0.29463237169937945,0.5670214239106358
mlp_V0-fosls,354,0.08502074320509316,0.06639188723352943,0.1300043383663042
mlp_V0-fosls,626,0.03412816595369146,0.021703935902524354,0.05770031541222867
mlp_V0-fosls,2274,0.00950013050300634,0.007841121132596472,0.012045912198506115
mlp_V0-fosls,3330,0.0073874914554620565,0.006344142615353688,0.01007752988434211
mlp_V0-fosls,12802,0.004355429752661708,0.0041081309763914735,0.0048399254370553695
mlp_V0-fosls,16962,0.00430350683870407,0.003307049924233149,0.004785537339625186
mlp_V0-fosls,66690,0.0033626800668524626,0.0026602177956624277,0.0038550572366164394
mlp_V0-fosls,264450,0.0018446912486057853,0.001675691531857572,0.0023131495872351486
