Model,dof,Iterations,Median Final Loss,Avg Slope (last 10),Median Std (last 10)
mlp-fosls,114,10,0.3113753130438595,4.4934522775207984e-05,0.0632958014232478
mlp-fosls,354,10,0.026072068998749476,2.9133694348259076e-05,0.014538942902161008
mlp-fosls,626,10,0.01617121765780633,-3.471408991949843e-05,0.0023941536729485628
mlp-fosls,2274,10,0.006525067600339388,1.6399616732055033e-05,0.0013403638557227054
mlp-fosls,3330,10,0.007042943200123034,-3.6505303298415283e-06,0.0017406192173204985
mlp-fosls,12802,10,0.00423693137348146,-1.8824374710997072e-05,0.0008092154197046804
mlp-fosls,16962,10,0.005209128669606992,1.1041881282373378e-05,0.0009940818056114538
mlp-fosls,66690,10,0.004561749057711241,-1.1413436017498891e-05,0.000842484729750153
mlp-fosls,264450,10,0.0027127508869540643,-3.540408573448062e-06,0.00033181968751948195
mlp_V0-fosls,114,10,0.45815282390214823,-4.809801652428114e-07,0.07488214947191375
mlp_V0-fosls,354,10,0.08502074320509316,-2.255963490558488e-05,0.020405519155474283
mlp_V0-fosls,626,10,0.03412816595369146,-1.9862458631948575e-05,0.013274854801884818
mlp_V0-fosls,2274,10,0.00950013050300634,-6.837187855250892e-06,0.001496925104118836
mlp_V0-fosls,3330,10,0.0073874914554620565,-7.197630916618847e-06,0.001087811892362018
mlp_V0-fosls,12802,10,0.004355429752661708,-7.100575961542566e-06,0.00021246875064608937
mlp_V0-fosls,16962,10,0.00430350683870407,-1.2366678874220494e-05,0.0004144768523475539
mlp_V0-fosls,66690,10,0.0033626800668524626,2.6812972936136604e-06,0.0003854203394675914
mlp_V0-fosls,264450,10,0.0018446912486057853,1.7375288409064992e-06,0.00015933641321824263
